temperature_norm,humidity_norm,wind_norm,pressure_norm,rain_norm,strings_note,pad_volume,pad_reverb,organ_duration,organ_density,bass_note,rain_density
0.4807407407407407,0.8361111111111111,0.1876388888888889,0.7261481481481483,0.0,4,0.8361111111111111,0.8361111111111111,0.8123611111111111,0.1876388888888889,3,0.0
0.5379597141000649,0.8230492898913951,0.16970238095238094,0.7155438596491227,0.0,5,0.8230492898913951,0.8230492898913951,0.830297619047619,0.16970238095238094,3,0.0
0.6275113710201429,0.7911333890281259,0.23092488164856587,0.7187297874315416,0.004815460420106422,6,0.7911333890281259,0.7911333890281259,0.7690751183514342,0.23092488164856587,3,0.004815460420106422
0.6239042049568365,0.8796491228070175,0.2934450710108605,0.7010960735171261,0.16270047680104283,6,0.8796491228070175,0.8796491228070175,0.7065549289891395,0.2934450710108605,3,0.16270047680104283
0.6501341316253597,0.8824269005847953,0.3296553884711779,0.6809239766081872,0.08003334972525605,6,0.8824269005847953,0.8824269005847953,0.6703446115288221,0.3296553884711779,3,0.08003334972525605
0.6756961849067111,0.8056585909217487,0.3956756474519631,0.5967658033973825,0.054322401406048465,6,0.8056585909217487,0.8056585909217487,0.6043243525480368,0.3956756474519631,2,0.054322401406048465
0.661087440824283,0.8377318295739348,0.5126274018379281,0.43428682818156505,0.15880085137860497,6,0.8377318295739348,0.8377318295739348,0.4873725981620719,0.5126274018379281,2,0.15880085137860497
0.6550682261208578,0.7420077972709551,0.8875950292397661,0.20638726445744,0.19238318127629261,6,0.7420077972709551,0.7420077972709551,0.11240497076023392,0.8875950292397661,1,0.19238318127629261
0.5850714749837558,0.6694931773879143,0.8125981620718464,0.23229703889352987,0.020336151806930325,5,0.6694931773879143,0.6694931773879143,0.18740183792815357,0.8125981620718464,1,0.020336151806930325
0.558203842940685,0.6475438596491229,0.7006537176274018,0.4240879977722082,0.0,5,0.6475438596491229,0.6475438596491229,0.2993462823725982,0.7006537176274018,2,0.0
0.6166680590364799,0.7188986354775826,0.5433086187691454,0.5861165877657105,0.07391952968987658,6,0.7188986354775826,0.7188986354775826,0.4566913812308546,0.5433086187691454,2,0.07391952968987658
0.676434140907825,0.8061723753829018,0.4805273600668338,0.6360742597233824,0.04457285350660309,6,0.8061723753829018,0.8061723753829018,0.5194726399331662,0.4805273600668338,3,0.04457285350660309
